FIPS,TOWN
3300500820,Alstead
3300512260,Chesterfield
3300519140,Dublin 
3300526500,Fitzwilliam 
3300529220,Gilsum 
3300534420,Harrisville 
3300536660,Hinsdale 
3300538500,Jaffrey 
3300545460,Marlborough 
3300545700,Marlow 
3300550580,Nelson 
3300564420,Richmond 
3300564580,Rindge 
3300565700,Roxbury 
3300573700,Stoddard 
3300574900,Sullivan 
3300575300,Surry 
3300575700,Swanzey 
3300577380,Troy 
3300578420,Walpole 
3300582660,Westmoreland 
3300585540,Winchester 
3301101700,Antrim 
3301104900,Bennington 
3301131540,Greenfield 
3301131940,Greenville 
3301133700,Hancock 
3301151940,New Ipswich 
3301160580,Peterborough 
3301168820,Sharon 
3301176260,Temple 
3301185940,Windsor 
3301940900,Langdon 
3300539300,Keene 